filename,text,split,eval_set
mi_up.wav,up,train,neither
mi_at.wav,at,train,neither
mi_out.wav,out,train,neither
mi_ate.wav,ate,train,neither
mi_egg.wav,egg,train,neither
mi_about.wav,about,train,neither
mi_book.wav,book,train,neither
mi_oil.wav,oil,train,neither
mi_earth.wav,earth,train,neither
mi_boat.wav,boat,train,neither
mi_art.wav,art,train,neither
mi_off.wav,off,train,neither
mi_it.wav,it,train,neither
mi_feet.wav,feet,train,neither
mi_tap.wav,tap,train,neither
mi_kick.wav,kick,train,neither
mi_big.wav,big,train,neither
mi_cat.wav,cat,train,neither
mi_dog.wav,dog,train,neither
mi_pat.wav,pat,train,neither
mi_cap.wav,cap,train,neither
mi_top.wav,top,train,neither
mi_cup.wav,cup,train,neither
mi_dad.wav,dad,train,neither
mi_size.wav,size,train,neither
mi_buzz.wav,buzz,train,neither
mi_bath.wav,bath,train,neither
mi_ship.wav,ship,train,neither
mi_safe.wav,safe,train,neither
mi_sun.wav,sun,train,neither
mi_five.wav,five,train,neither
mi_zoo.wav,zoo,train,neither
mi_fan.wav,fan,train,neither
mi_wash.wav,wash,train,neither
mi_fish.wav,fish,train,neither
mi_jump.wav,jump,train,neither
mi_watch.wav,watch,train,neither
mi_page.wav,page,train,neither
mi_catch.wav,catch,train,neither
mi_chin.wav,chin,train,neither
mi_man.wav,man,train,neither
mi_moon.wav,moon,train,neither
mi_sing.wav,sing,train,neither
mi_no.wav,no,train,neither
mi_mom.wav,mom,train,neither
mi_ring.wav,ring,train,neither
mi_name.wav,name,train,neither
mi_way.wav,way,train,neither
mi_read.wav,read,train,neither
mi_run.wav,run,train,neither
mi_roll.wav,roll,train,neither
mi_love.wav,love,train,neither
mi_yellow.wav,yellow,train,neither
mi_light.wav,light,train,neither
mi_wall.wav,wall,train,neither
mi_yes.wav,yes,train,neither
mi_red.wav,red,train,neither
mi_glass.wav,glass,train,neither
mi_blue.wav,blue,train,neither
mi_drink.wav,drink,train,neither
mi_stop.wav,stop,train,neither
mi_please.wav,please,train,neither
mi_clock.wav,clock,train,neither
mi_green.wav,green,train,neither
mi_street.wav,street,train,neither
mi_black.wav,black,train,neither
mi_spring.wav,spring,train,neither
mi_done.wav,done,train,neither
mi_long.wav,long,train,neither
mi_whatever.wav,whatever,train,neither
mi_day.wav,day,train,neither
mi_more.wav,more,train,neither
mi_want.wav,want,train,neither
mi_home.wav,home,train,neither
mi_small.wav,small,train,neither
mi_yeah.wav,yeah,train,neither
mi_cold.wav,cold,train,neither
mi_water.wav,water,train,neither
mi_go.wav,go,train,neither
mi_fast.wav,fast,train,neither
mi_list.wav,list,train,neither
mi_ask.wav,ask,train,neither
mi_hand.wav,hand,train,neither
mi_milk.wav,milk,train,neither
mi_desk.wav,desk,train,neither
mi_store.wav,store,train,neither
mi_near.wav,near,train,neither
mi_car.wav,car,train,neither
mi_hair.wav,hair,train,neither
mi_sure.wav,sure,train,neither
mi_sure_1.wav,sure,train,neither
mi_this.wav,this,train,neither
mi_this_1.wav,this,train,neither
mi_blood.wav,blood,train,neither
mi_need.wav,need,train,neither
mi_kitchen.wav,kitchen,train,neither
mi_outside.wav,outside,train,neither
mi_jacket.wav,jacket,train,neither
mi_cookie.wav,cookie,train,neither
mi_shorts.wav,shorts,train,neither
mi_what.wav,what?,train,neither
mi_comehere.wav,come here,train,neither
mi_needhelp.wav,need help,train,neither
mi_myjuice.wav,my juice,train,neither
mi_myjuice_1.wav,my juice,train,neither
mi_dontsing.wav,don't sing,train,neither
mi_watchtv.wav,watch tv,train,neither
mi_watchtv_1.wav,watch tv,train,neither
mi_alexismyfavorite.wav,alex is my favorite,train,neither
mi_twosistersandonebrother.wav,two sisters and one brother,train,neither
mi_momshere.wav,mom's here,train,neither
mi_nocheese.wav,no cheese,train,neither
mi_notoast.wav,no toast,train,neither
mi_whyareyoumadatme.wav,why are you mad at me?,train,neither
mi_whereareyougoing.wav,where are you going?,train,neither
mi_myfoothurts.wav,my foot hurts,train,neither
mi_gotobed.wav,go to bed,train,neither
mi_letmedoit.wav,let me do it,train,neither
